ID,MET,METphi,Type_1,P1,P2,P3,P4,Type_2,P5,P6,P7,P8,Type_3,P9,P10,P11,P12,Type_4,P13,P14,P15,P16,Type_5,P17,P18,P19,P20,Type_6,P21,P22,P23,P24,Type_7,P25,P26,P27,P28,Type_8,P29,P30,P31,P32,Type_9,P33,P34,P35,P36,Type_10,P37,P38,P39,P40,Type_11,P41,P42,P43,P44,Type_12,P45,P46,P47,P48,Type_13,P49,P50,P51,P52
15,13275.3,-1.70325,b,148108.0,105217.0,-0.8701530000000001,0.173498,j,229257.0,88196.9,-1.59419,2.38005,b,127112.0,43544.5,-1.7298,-1.22705,j,45323.2,36037.8,-0.680307,2.1876,j,377337.0,34482.7,-3.08335,-2.02078,j,81465.8,28017.5,-1.72222,-3.012,m-,22231.7,21477.1,-0.264273,-2.33519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,366803.0,-1.90669,j,271196.0,253703.0,0.170093,0.605109,b,1237170.0,246340.0,2.2964,2.08048,b,266691.0,127368.0,1.36479,-0.821545,b,93560.6,72652.5,0.734912,1.35603,j,214649.0,55655.1,2.02435,-3.11329,j,330837.0,46199.3,2.65669,1.46114,m-,297734.0,138920.0,1.39595,-1.42558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,139475.0,-3.0646,j,204726.0,164570.0,0.668516,-0.836168,b,247852.0,157263.0,1.02385,0.781844,j,214762.0,67532.4,1.8231700000000002,-0.41964,j,199550.0,57251.8,-1.9169900000000002,2.43367,b,68825.3,56535.5,0.625656,-2.15381,j,83836.2,36507.9,1.45906,1.86847,j,258908.0,36083.8,2.65789,1.67033,j,325179.0,34495.5,-2.9338,-2.73,j,328063.0,32902.6,2.98997,0.354275,b,73989.1,31734.1,-1.48858,-2.92437,j,218151.0,29748.4,2.6804200000000002,-2.73089,m+,27109.1,27043.4,-0.06956160000000002,-2.90395,,,,,
18,63822.6,2.97928,j,129182.0,126756.0,-0.156052,0.0547305,b,85277.4,65891.6,-0.742683,-2.76382,j,74938.4,62444.1,-0.620976,0.815905,b,26560.4,26372.9,0.0401727,-1.41302,j,30376.6,25557.0,0.594896,-2.65332,j,25193.0,24796.4,-0.0970303,-2.38031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18938.9,1.19446,j,207814.0,82942.2,-1.56752,2.42714,j,564891.0,62899.9,-2.8848599999999998,-1.82521,j,225425.0,55038.2,-2.0869,-0.308558,j,170286.0,45716.1,-1.9883,-1.35206,j,199745.0,43473.6,-2.20507,1.30308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,65070.7,-0.491001,j,152722.0,48457.7,-1.8134299999999999,-1.94828,j,105001.0,43238.0,-1.5337100000000001,2.27409,j,381327.0,42523.5,-2.88354,3.11124,j,378303.0,36413.1,-3.0312200000000002,0.489363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,53014.6,2.85061,j,849096.0,54149.7,3.44447,-2.40657,j,1186520.0,48060.4,3.89903,0.0862315,j,413642.0,45535.2,2.89604,1.08682,j,306110.0,38713.9,2.75655,-0.686079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,57792.9,2.83348,j,270333.0,103796.0,-1.6053899999999999,0.0393601,j,148874.0,42140.3,-1.9331099999999999,-2.09638,b,97203.3,40771.8,-1.51017,2.67879,j,35360.5,34010.6,0.227491,2.68137,j,371860.0,31006.3,-3.1755400000000003,-2.0645,j,426051.0,30566.5,-3.32629,0.965975,j,39731.3,29611.4,0.776931,-1.44449,j,38731.9,28601.5,-0.786303,0.21993,,,,,,,,,,,,,,,,,,,,,,,,,
23,20712.8,-2.12947,j,144986.0,124842.0,-0.551854,-1.92945,b,122798.0,105837.0,-0.539257,2.21915,j,182063.0,84711.8,1.39515,0.455045,b,118588.0,71334.3,-1.08425,-0.481862,j,558854.0,64532.4,2.84838,2.04981,m-,34872.0,10066.9,1.9140599999999999,-0.778252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15782.0,-1.36353,j,109959.0,98389.7,0.46108699999999997,-2.93707,b,107307.0,97438.0,-0.422863,0.273694,j,274040.0,93197.1,-1.7340900000000001,1.48056,j,261134.0,84738.6,-1.78915,-0.0841246,j,97697.2,56229.8,-1.1413799999999998,-2.99263,j,79617.8,49128.1,1.05895,-2.30848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,66247.4,1.37966,j,235845.0,98697.6,-1.51524,-1.17636,j,68873.9,61886.6,0.35417600000000005,1.95504,j,168329.0,59511.5,-1.69481,-2.84661,j,53035.9,37316.6,0.841692,-3.11773,j,108546.0,37069.9,-1.73525,0.52176,j,32953.7,32639.6,0.10731500000000001,-1.11183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,110800.0,-0.247892,j,288756.0,92417.7,1.8048,2.26432,b,52000.9,51060.8,-0.126948,-1.48187,j,374822.0,25824.9,3.36685,-2.97613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,32576.0,1.05977,j,1067060.0,182627.0,2.44992,2.8475,b,185583.0,175843.0,-0.0200774,-1.39381,j,136264.0,130954.0,-0.165183,0.855485,j,108929.0,99168.9,-0.42198,-0.41111,b,139073.0,78795.9,1.1618899999999999,-1.1077,j,276656.0,76763.5,-1.9549900000000002,-0.105731,j,188169.0,71434.3,1.62249,3.06177,j,1628820.0,43038.3,-4.32647,0.188013,j,152431.0,42846.6,-1.94022,2.40642,j,35605.0,33213.7,-0.36088600000000004,1.55725,j,983864.0,32094.4,4.11564,-0.348669,j,253575.0,23909.1,3.05202,-2.25973,e+,229263.0,120849.0,-1.2554,2.61168
28,12097.9,2.61191,j,112826.0,73939.1,0.9705229999999999,-1.28498,b,70535.1,68950.4,0.160529,1.6564,b,74946.8,68801.9,0.338025,3.11795,j,50082.5,31448.3,1.03398,0.116468,j,63044.9,28789.7,-1.41611,-2.15247,j,125441.0,23085.6,2.3759099999999997,0.49625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,110183.0,0.0545672,j,72609.1,63499.9,-0.503499,2.98446,b,71494.5,51555.9,-0.8272290000000001,-2.4978,j,119882.0,36221.0,-1.8631400000000002,2.17973,j,39006.8,27460.2,-0.883274,-1.83252,j,313461.0,26441.0,-3.16384,0.788158,m+,167809.0,116716.0,-0.904531,0.416432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,105791.0,2.83642,b,207770.0,114087.0,-1.20075,-1.26398,j,154147.0,99296.0,-1.00423,0.151114,j,80471.9,79461.4,0.13108699999999998,2.40001,b,86732.0,67346.2,0.734247,2.7507,b,65413.5,64342.1,0.0395333,0.791519,b,342518.0,63795.6,-2.3645099999999997,-0.451688,j,185041.0,63651.7,1.7280000000000002,-0.80818,j,60788.7,47862.8,0.7115670000000001,1.96979,j,102142.0,47644.9,1.39489,2.31768,j,54864.4,40220.6,0.809124,-1.66143,j,392048.0,31033.6,-3.22777,1.55574,j,65841.2,28472.2,-1.4789700000000001,-0.610641,e-,123613.0,34018.5,-1.9639,-1.77298
31,86811.0,-3.0241,b,299207.0,106884.0,1.68718,2.33071,b,165490.0,102400.0,1.05542,-0.968918,b,318604.0,98296.0,1.84328,-0.579088,j,109132.0,78708.2,0.840297,2.94554,j,702630.0,64608.0,3.07726,0.92985,j,677353.0,63277.1,3.06161,0.187749,j,274571.0,52653.5,2.33495,0.0678973,j,363804.0,47856.6,2.7164599999999997,-2.77909,m+,212847.0,57031.3,1.99167,-2.95151,,,,,,,,,,,,,,,,,,,,
32,32894.6,0.0111854,j,545615.0,225867.0,-1.52639,-0.204369,b,293567.0,149640.0,-1.29395,2.51633,j,248348.0,104086.0,-1.50729,-2.75334,j,35406.0,32355.2,-0.339088,-3.0887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,8541.5,-0.9311,j,107349.0,91723.6,0.571752,2.63324,b,557985.0,91704.7,2.49175,-0.532017,j,696188.0,64689.9,3.06676,2.97479,j,59279.1,42076.9,0.8629180000000001,0.180826,j,71396.2,32459.8,1.42264,-2.2709,j,123627.0,23146.4,2.35929,0.431307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,31469.4,-2.74448,b,194775.0,136763.0,0.8858299999999999,1.61287,b,97908.5,95331.4,-0.015341200000000001,-2.31809,j,89498.8,74373.6,0.570138,-1.29135,j,184360.0,48286.9,2.01438,0.470322,j,333982.0,33676.2,-2.98445,-0.405591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,71537.6,2.25937,j,103999.0,96813.7,-0.366002,-2.85618,j,683928.0,57959.3,-3.15916,1.07925,j,408452.0,55251.0,-2.68892,-0.79916,j,130346.0,52963.8,-1.54399,-0.593421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,192415.0,-0.252244,j,280196.0,180125.0,-1.00405,-2.87593,j,136278.0,96458.9,-0.8713850000000001,1.47178,j,129016.0,58361.2,-1.42534,0.685487,b,61682.1,54723.2,-0.46913299999999997,-1.90744,j,79085.2,45024.2,-1.1543700000000001,2.53705,j,125030.0,23186.9,-2.3681900000000002,-2.51179,e+,34056.8,19918.9,-1.13031,-1.04997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20759.2,1.59643,b,170948.0,166373.0,-0.197018,0.784023,j,136720.0,135838.0,0.048117900000000005,-2.55983,j,277765.0,129346.0,1.3947,-0.679318,j,133563.0,122273.0,-0.42531,-3.02657,b,52795.1,49022.0,0.24014899999999997,1.52376,j,61429.3,25338.7,-1.52393,-1.47819,j,102970.0,23998.0,-2.13421,0.666454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,103665.0,-1.52985,j,784751.0,67311.8,-3.14693,1.99804,j,179823.0,62476.7,-1.7174900000000002,0.236876,j,27203.4,25254.6,-0.312822,2.11484,j,61138.3,23657.4,-1.60041,3.03017,m-,74302.7,49607.0,-0.960476,-1.33717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,218392.0,2.85603,j,480776.0,331058.0,-0.8940520000000001,-1.5909,j,412402.0,306575.0,-0.7908270000000001,1.8618,j,324684.0,136664.0,-1.50525,0.209569,j,141408.0,99963.0,-0.850843,-0.572711,j,158003.0,67913.2,1.48084,-0.0168661,j,70786.2,24779.4,-1.70734,-0.48036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,19490.7,1.49114,j,437531.0,172987.0,1.5794,-2.2954,j,182281.0,114165.0,1.03814,0.981925,j,795235.0,85429.4,2.92108,-2.63912,b,314672.0,74023.9,2.12521,1.27,j,101474.0,67487.7,0.9638909999999999,-0.0819208,j,298276.0,45011.4,2.57788,-0.124629,j,37750.1,32201.7,0.5601430000000001,-1.96038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14542.9,-1.64864,j,712615.0,126559.0,-2.41296,-2.70721,b,134913.0,61594.2,-1.41121,2.00805,j,59246.1,58832.5,0.038756900000000004,-0.810752,j,172994.0,58667.1,-1.73868,0.0745229,b,51140.1,49392.6,-0.203325,0.449953,j,92778.3,33988.7,1.6598,1.76345,j,46932.9,28855.5,-1.05624,0.756471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,184415.0,1.0491,j,185505.0,169538.0,-0.408159,-3.00822,j,220707.0,169468.0,-0.7404729999999999,1.84427,b,154940.0,118862.0,0.723912,-1.36712,b,301441.0,114002.0,1.62561,-0.76484,b,223332.0,84562.9,1.62289,-2.10359,j,604823.0,68582.4,2.8665599999999998,-1.40484,j,77925.0,59986.4,-0.750988,-2.22293,j,294473.0,40146.6,-2.68058,0.299882,j,67717.5,34276.4,1.2919100000000001,0.849291,j,29744.9,29378.7,-0.0443571,0.815524,m+,32259.3,23427.9,-0.843087,0.444482,,,,,,,,,,
43,54240.0,-1.75616,j,159016.0,123393.0,-0.693475,2.95998,j,339604.0,107005.0,1.8192700000000002,-0.789962,j,215560.0,70399.0,-1.77698,1.4995,j,86361.8,67032.1,-0.710674,0.859921,m-,51796.7,51629.0,0.08056669999999999,-1.7243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,262291.0,-0.664918,b,205954.0,142996.0,-0.9033620000000001,2.7057,j,596238.0,137075.0,-2.14692,2.78068,j,1080090.0,123136.0,2.8612599999999997,0.703397,b,101284.0,97038.5,-0.19933,-3.09206,b,189380.0,95929.4,-1.29388,-2.71155,b,206693.0,79716.7,-1.60202,-1.14446,b,219738.0,60443.4,-1.96327,0.846427,j,395643.0,48213.8,-2.79408,1.06368,j,45937.3,41843.5,0.423228,0.546599,j,61555.0,26294.3,-1.49139,2.26952,e+,49575.0,38192.6,-0.7540520000000001,-0.977793,,,,,,,,,,
45,105840.0,1.50021,j,326898.0,175034.0,-1.23435,-1.52241,b,102468.0,84085.7,0.582902,1.44089,j,214336.0,50718.3,-2.11943,-1.91822,j,116087.0,36379.0,-1.82708,-2.52824,m+,44960.8,26314.2,-1.12947,0.32464,g,19393.2,17984.3,-0.393291,1.53683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,54217.7,-1.47364,j,753319.0,82310.1,-2.90384,2.31208,e+,102201.0,24333.9,-2.11373,0.459603,m-,451171.0,158262.0,-1.70845,-1.65257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,19509.1,-0.355878,j,128739.0,111082.0,-0.554395,-3.08565,j,301004.0,53135.4,-2.41891,-0.742102,j,641219.0,39370.7,-3.48241,1.62892,j,85923.6,38823.6,-1.4249100000000001,1.19081,b,38230.0,37428.6,-0.17034100000000002,0.0198051,j,33566.7,32834.2,-0.16686700000000002,-1.4442,j,942593.0,24066.9,-4.36077,1.60627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14312.3,-0.705186,j,548078.0,97626.4,-2.4098599999999997,1.67477,j,126897.0,78840.8,-1.04925,-2.42873,j,190212.0,59386.2,-1.8305,-0.265251,j,58032.0,50842.7,-0.517328,-1.31418,j,712485.0,34674.3,-3.71524,2.9645,j,32304.4,30465.6,-0.32361599999999996,-0.0844795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,30043.8,-0.79172,j,832254.0,234166.0,-1.93983,2.14831,j,249425.0,164681.0,-0.9734719999999999,-1.16229,j,139073.0,73441.7,-1.25145,-0.513078,j,79595.3,71610.1,-0.45077799999999996,1.0328,b,67668.9,61140.4,-0.437346,-2.74666,j,29997.4,26335.9,-0.500117,-1.85452,b,24351.9,24161.8,-0.0286808,0.256445,b,67224.0,24094.2,-1.6801599999999999,-1.85536,,,,,,,,,,,,,,,,,,,,,,,,,
50,86119.0,1.48264,j,1554880.0,50997.2,-4.11022,-0.467843,j,142088.0,43831.0,1.8419299999999998,-1.91006,j,791757.0,36662.5,-3.76506,1.5414,j,382109.0,33897.2,3.11335,-2.17172,b,47080.6,33529.9,-0.8556969999999999,-2.57471,m-,31434.2,31088.5,-0.14894200000000002,1.76902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,68454.8,-2.07469,j,402411.0,262383.0,-0.9916389999999999,-2.51438,j,343171.0,256975.0,-0.784846,0.754278,b,104258.0,103478.0,-0.052453999999999994,1.11472,j,51792.5,40449.4,-0.717461,0.0442002,j,104040.0,32366.6,-1.83317,-1.82865,j,32557.6,27257.4,-0.5628770000000001,-1.86057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,83225.7,-0.843378,j,88592.8,74700.8,0.57506,1.23861,j,219645.0,47411.3,2.21294,-2.82339,b,87520.9,35195.6,1.55655,2.95748,j,32070.1,30047.8,0.323305,-2.59115,j,60401.9,24044.1,1.5653,0.412948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5871.31,-1.23811,j,342894.0,111965.0,-1.78407,1.92767,j,886291.0,84271.2,-3.0436799999999997,-1.30588,j,57789.1,41363.5,-0.86182,2.04615,j,541585.0,34978.3,-3.43172,-0.353468,j,176454.0,27482.0,-2.54589,-0.446,j,57368.2,27018.2,-1.3791799999999999,-2.83701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,40825.0,0.412654,j,324669.0,317841.0,-0.181499,0.665443,j,351294.0,202755.0,-1.1415899999999999,-2.88308,j,1468080.0,142149.0,-3.02535,-1.31844,j,711840.0,100751.0,-2.6429400000000003,-2.59501,b,144644.0,95134.0,-0.9745530000000001,0.268753,j,1095760.0,83639.5,-3.2642700000000002,-2.96142,j,106813.0,44082.6,-1.52617,2.31905,j,52540.3,40750.3,0.735581,-2.07455,j,54148.7,31075.9,-1.14219,-2.11678,j,155773.0,30486.7,-2.31395,0.976321,j,29517.9,28798.1,-0.199489,2.77447,j,37762.8,25893.9,0.9152969999999999,1.02893,,,,,
55,17460.7,-2.84007,j,116139.0,112955.0,0.2273,1.11111,j,396686.0,76135.4,2.33395,-1.29554,b,94414.3,44441.0,1.38,2.50025,j,690702.0,44323.3,3.4382300000000003,-1.35154,j,256514.0,24167.5,3.05275,-2.37388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,61189.3,-1.2772,b,90498.8,78842.3,-0.529245,2.32467,j,94233.0,69200.9,-0.8203090000000001,0.962925,b,59071.1,57232.4,-0.136327,-1.7722,m+,91710.0,57523.2,1.0424,-0.487193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,16227.7,-2.22821,j,117135.0,111160.0,0.31840999999999997,0.914469,j,384024.0,83388.8,2.20807,2.45606,j,258769.0,65793.6,-2.04485,-2.48865,b,76231.4,62758.8,-0.59396,-1.35914,j,54148.4,47213.5,0.531284,-0.0762426,j,42883.4,37953.0,0.46830600000000006,-2.78717,j,180858.0,37452.3,-2.25667,-0.124969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,21821.3,-0.22585,j,359029.0,67647.2,-2.35259,0.857818,b,102337.0,64482.9,1.0313299999999999,1.25054,b,36791.2,35902.7,0.141188,-2.43158,j,32861.9,31420.6,-0.28078200000000003,0.34359,e-,209605.0,110581.0,-1.2544,-2.25498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,29582.1,-1.26913,b,199004.0,122711.0,-1.05936,1.62711,j,100406.0,89396.2,0.461718,-0.481435,j,61564.7,53650.4,0.532148,-2.32188,j,50557.8,50005.7,0.120628,2.49392,b,88663.8,46752.1,-1.2496399999999999,-1.76349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,54829.9,-1.28646,b,366632.0,271829.0,-0.784842,2.56156,j,200746.0,184842.0,-0.320283,-0.586476,j,129698.0,85055.7,-0.9766020000000001,-0.0447833,b,80908.6,74524.6,-0.376906,-1.97124,j,71079.8,33566.3,-1.38057,1.46816,j,44122.2,26754.8,1.0642399999999999,1.54749,j,27453.5,26742.8,-0.199293,2.01451,j,67372.3,25194.9,-1.63155,-1.5038,m+,82457.4,70897.2,-0.563573,-1.21653,,,,,,,,,,,,,,,,,,,,
61,77267.3,1.57049,j,98566.2,64964.4,-0.944368,-0.406721,b,217895.0,52925.5,2.09167,-2.82405,j,181576.0,38173.2,-2.24087,3.01103,b,36010.1,35189.5,-0.158085,0.0623435,j,55132.2,35051.2,-1.0015,-1.26789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,361232.0,-0.729063,b,826661.0,495520.0,-1.0916700000000001,2.75492,j,464524.0,398481.0,-0.552524,2.14542,j,820471.0,106153.0,2.73382,2.61429,j,468221.0,49725.1,2.93256,0.464718,j,726355.0,36283.4,3.6891800000000003,-2.50191,g,558123.0,452162.0,-0.671895,-0.610176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,18633.6,-2.40061,b,710365.0,545277.0,-0.708754,-2.54239,j,313983.0,236558.0,-0.7743869999999999,0.898678,j,211914.0,201227.0,-0.315826,-0.0827448,b,170144.0,156136.0,0.28221799999999997,1.53861,j,187684.0,103742.0,-1.18907,0.294156,j,76812.8,65932.7,0.5470619999999999,-0.929824,b,55972.5,50284.6,-0.469488,2.24553,j,610814.0,49830.7,-3.19753,1.43587,j,67725.5,48569.4,-0.8498899999999999,-0.932373,j,42261.9,29220.2,0.868196,-2.06026,j,44823.3,24335.6,1.19136,-3.12658,,,,,,,,,,
64,37412.2,-1.44836,j,121330.0,109057.0,-0.46360100000000004,0.875759,j,207955.0,95592.4,1.4104700000000001,-1.45805,j,133382.0,76859.0,-1.1434,2.8225,j,76824.2,38432.6,1.31108,1.06109,j,161738.0,38065.2,2.12315,2.51909,j,34404.1,32659.4,0.140348,-2.58759,e-,34468.8,34365.8,0.0773848,-0.383937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,40738.7,1.68168,b,176276.0,118312.0,0.9503010000000001,-0.953927,j,126637.0,73155.9,-1.1406,-3.06159,b,156373.0,57629.7,1.6537099999999998,1.53418,j,90545.7,54994.7,1.0638,1.40756,e+,138053.0,48687.0,1.70272,-1.59161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
